words,sentiment_coeff
his,-1.541800827499423
excellency,-2.30334573336453
president,-1.6935395804183535
uganda,-1.340455383295952
kagutamuseveni,-1.6652782434565758
efforts,-1.8067873369909369
of,-1.689862976058611
ahmadiyya,-4.528516506769687
muslim,-3.4236498502625192
community,-1.4760400438798744
towards,-2.0776758859303928
covid19ug,-1.5325135554578921
so,-1.9589139759157523
grateful,-3.7089213210487784
to,-1.792609409847241
our,-1.654773522482905
partners,-1.9045038225257518
humanityfirstuk,-2.701169691544374
hfi1995,-3.6198871842152522
4,-1.0509130241428217
support,-1.832908230817093
the,-1.8833970918638947
ppl,-5.722901428526019
ntvuganda,-1.5215518912992019
nbsupdates,-1.738739446704599
nbstv,-1.5565653208367431
nbsfrontline,-3.2015054954053355
alright,-4.173406047350123
if,-1.8027924222333704
deputy,-1.7846403460685092
or,-1.8978667721900806
prime,-2.3108592521417943
minister,-1.7890353035388755
addresses,-2.395972064581011
country,-1.789658695359527
in,-1.8021017680794431
period,-2.3348998815725923
will,-1.6934249778374533
cease,-4.085674853944576
exist,-2.4711656770778743
?,1.0686529048048443
mr,-1.2957153680580322
has,-1.7844533825721436
far,-1.7186298421421276
delivered,-2.2034513463378897
more,-1.9785197802507837
than,-2.039024669896244
14,-1.3914999634096106
covid,-1.3317987263314413
19,-1.2711537720921517
related,-1.937357312323662
top,-2.789586823334106
reading,-2.7085926181918647
contributions,-3.0890684519687692
erias,-3.188078768336516
lukwago,-1.7522439036946804
should,-1.8985237678191054
know,-1.7435156933345421
that,-1.9239551341978185
sops,-2.4194109754864503
are,-1.8026700194825005
instructions,-4.162087248970775
complex,-4.64452570632511
operations,-1.4619407050240707
and,-1.5868456276231897
they,-1.8037077170839533
do,-1.6005852615730003
not,-1.7615983169987235
have,-1.7293655717827692
be,-1.7767962500505108
as,-1.7662863947558707
laws,-2.7621272485338118
i,-1.4353568027727532
beg,-2.8429746912284486
summit,-3.5352029434176955
cc,-1.4837727112805645
judiciaryug,-1.375637891579006
peter,1.0725827685905738
ofwonoopondo,-1.5733332935761721
energy,-3.0098813755615854
hands,-1.932436148921667
over,-1.8826360933929214
ugx,-1.2120403380527587
20m,-1.7939668658218642
manafwa,-3.427763416796367
district,-1.4122180827315916
taskforce,-1.7656580686242214
woman,-2.6376068055999538
member,-2.109866546096074
parliament,-1.4077488197104742
ug,-1.208396471737726
had,-2.0608198038274206
earlier,-1.7576426250577426
donated,-1.9094609500655038
15,-1.176793987722915
tonnes,-2.190907827052007
maize,-1.385873512037377
flour,-1.7446840693212835
two,-1.5236829508910263
phases,-3.7761055723862307
worth,-2.469967265883756
30m,-4.852330909158659
according,-1.9887814708022695
rdc,1.1163292846846342
